AAB	ABELAG AVIATION	ABELAG
CDF	AEROSERVICIOS AOV, S.A. DE C.V.	SERVICIO AEREO
CDG	SHANDONG AIRLINES	SHANDONG
CDI	CARDS AIR SERVICES, INC.	CARDS
CDL	SUNBIRD AIRLINES, INC. (CHARLOTTE, NC)	CAROLINA
CDN	CANADIAN HELICOPTERS LIMITED DBA HNZ GLOBAL	CANADIAN
CDO	TCHADIA AIRLINES	TCHADIA
CDP	AEROCONDOR S.A.	CONDOR-PERU
CDQ	CHODANG UNIVERSITY	CHODANG FLIGHT
CDR	BOMBARDIER MONTREAL	CANADAIR
CDS	SPECTREM AIR LTD	SPECDAS
CDT	REAL AERO CLUB DE REUS-COSTA DORADA	AEROREUS
CDV	AIRLINE SKOL	SKOL
CDX	CEDAR EXECUTIVE	CEDAREX
CDY	HELIAVIATION LIMITED	CADDY
CEA	CORPORATE EXPRESS AIRLINES (NASHVILLE, TN)	CORP-X
CEB	CEBU PACIFIC AIR	CEBU AIR
CEC	CHINA EASTERN BUSINESS JET CO.,LTD.	EASTERN JET
CEE	SERVICIOS AEREOS CENTRALES, S.A. DE C.V.	CENTRA AEREOS
CEF	CZECH AIR FORCE	CZECH AIR FORCE
CEG	CEGA AVIATION LIMITED	CEGA
CEL	CEIBA INTERCONTINENTAL	CEIBA LINE
CEN	CENTRAL AIR TRANSPORT SERVICES	SHUMBA
CEO	JET EKSEKUTIF TRAVYA	JETSET
CEP	CHIPOLA AVIATION, INC. (MARIANNA, FL)	CHIPOLA
CER	COSMOPOLITAN AIR OPERATIONS, S.A.P.I. DE C.V.	COSMER
CES	CHINA EASTERN AIRLINES	CHINA EASTERN
CET	CENTRAFRICAN AIRLINES	CENTRAFRICAIN
CEU	ASAS LINHAS AEREAS	ASAS AIR
CEV	CENTRE D'ESSAIS EN VOL	CENTEV
CEW	CENTRAL AIRWAYS	TRYDONAIR
CEY	AIR CENTURY, S.A	CENTURYFLIGHT
CEZ	CESSZANI AVIATION	CESSZANI
CFA	CHINA FLYING DRAGON AVIATION CO.	FEILONG
CFB	CHONGQING FOREBASE GENERAL AVIATION CO., LTD	FOREBASE
CFC	CANADIAN ARMED FORCES	CANFORCE
CFD	CRANFIELD UNIVERSITY	AERONAUT
CFE	BA CITYFLYER LTD	FLYER
CFF	AEROFAN	AEROFAN
CFG	CONDOR FLUGDIENST GMBH, FRANKFURT (MAIN)	CONDOR
CFH	CARE FLIGHT (NSW) LIMITED	CARE FLIGHT
CFI	FLIGHT INSPECTION CENTER OF THE GENERAL ADMINISTRATION OF CIVIL AVIATION OF CHINA	CHINA JET
CFL	BROMMA AIR MAINTENANCE AB	CALIBRATION
CFM	ACEF - TRANSPORTES AEREOS E CARGAS, LDA.	ACEF
CFN	CHURCH FENTON FTU	CHURCH FENTON
CFR	CALIFORNIA DEPARTMENT OF FORESTRY AND FIRE PROTECTION (MCCLELLAN, CA)	CALFIRE
CFS	EMPIRE AIRLINES (HAYDEN LAKE, UT)	EMPIRE AIR
CFT	JET FREIGHTERS, INC. (PORTLAND, ME)	CASPER FREIGHT
CFU	CAA FLYING UNIT	MINAIR
CFV	AERO CALAFIA, S.A. DE C.V.	CALAFIA
CFX	CFA AIR CHARTERS (PTY) LTD	CEEFA CHARTER
CFZ	CHINA FLIGHT GENERAL AVIATION COMPANY	ZHONGFEI
CGA	CONGRESSIONAL AIR, LTD (GAITHERSBURG, MD)	CONGRESSIONAL
CGB	COMERCIALIZACION INDUSTRIAL GLOBAL, S.A. DE C.V.	COMGLOB
CGC	CAL GULF AVIATION	CAL-GULF
CGE	NELSON AVIATION COLLEGE LTD	COLLEGE
CGF	CARGO AIR LTD	CLEVER
CGG	WALMART AVIATION (ROGERS, AR)	CHARGE
CGH	AIR GUILIN CO., LTD.	WELKIN
CGI	ATLAS JET, JOINT-STOCK COMPANY	CGI-RUSAIR
CGK	CLICK AIRWAYS	CLICK AIR
CGL	CRAFT AVIA CENTER SAPI DE CV	AVIA COPTER
CGN	AIR CHANGAN CO., LTD	CHANG AN
CGO	CHICAGO AIR, INC. (CHICAGO, IL)	WILD ONION
CGP	CAPITAL AIRCRAFT GROUP	CAPGROUP
CGR	COMPAGNIA GENERALE RIPRESEAEREE S.P.A.	COMPRIP
CGS	CENTRE OF APPLIED GEODYNAMICA, INDUSTRIAL ENTERPRISE	GEO CENTRE
CGU	CHINGUETTI AIRLINES	CHINGUETTI
CGV	AERO CLUBE DO ALGARVE	CLUBE ALGARVE
CGX	UNITED STATES COAST GUARD AUXILIARY (WASHINGTON, DC)	COASTGUARD AUXAIR
CGZ	COLORFUL GUIZHOU AIRLINES CO. LTD.	COLORFUL
CHA	CENTRAL FLYING SERVICE, INC. (LITTLE ROCK, AR)	CHARTER CENTRAL
CHB	CHINA WEST AIR CO., LTD	WEST CHINA
CHC	CHINA OCEAN HELICOPTER CORP. - COHC	CHINA HELICOPTER
CHD	223 FLIGHT UNIT, STATE AIRLINE	CHKALOVSK-AVIA
CHE	TOP FLIGHT AIR SERVICE, INC. (TAMPA, FL)	CHECK AIR
CHF	TIANJIN JEPPESEN INTERNATIONAL FLIGHT COLLEGE CO.,LTD	CHAO FEI
CHG	CHALLENGE AIRLINES (BE) S.A.	CHALLENGE
CHH	HAINAN AIRLINES HOLDING CO., LTD	HAINAN
CHI	COUGAR HELICOPTES,INC.	COUGAR
CHJ	STAR JET CO., LTD	SHINING
CHK	FLYING BOAT, INC. D/B/A CHALKS INTERNATIONAL AIRLINES (FT. LAUDERDALE, FL)	CHALKS
CHL	CRANFIELD HELICOPTERS LTD	ULTRA
CHN	CHANNEL ISLAND AVIATION (OXNARD, CA)	CHANNEL
CHO	CHROME AIR SERVICES LTD	CHROME AIR
CHP	CONSORCIO AVIAXSA, S.A. DE C.V.	AVIACSA
CHQ	CHAUTAUQUA AIRLINES (JAMESTOWN, NY)	CHAUTAUQUA
CHR	CHAIRMAN AIRMOTIVE ll, LLC	CHAIRMAN
CHU	CHURCH AIRCRAFT LTD (DENVER, CO)	CHURCHAIR
CHV	AIR CHARTER PROFESSIONALS, INC. (OPA LOCKA, FL)	CHARTAIR
CHX	HUBSCHRAUBER IM LUFTRETTUNGSDIENST, BERLIN	CHRISTOPH
CHZ	CHALLENGE AIR CARGO LIMITED	CARGO ROCK
CIA	TRANSPORT AUTHORITY	CALIMERA
CIB	CONDOR BERLIN MBH, BERLIN	CONDOR BERLIN
CIC	SACAICA, C.A.	CANAIMA
CID	ASIA CONTINENTAL AIRLINES	ACID
CIE	CZECH GOVERNMENT FLYING SERVICE	CZECHIA
CIG	SIRIUS-AERO	SIRIUS AERO
CIJ	C&I CORPORATION	NIKOLAUS
CIK	COMOROS INTERNATIONAL AIRLINE	COMOROS AIRLINE
CIL	CIAF LEASING	CIAF LEASING
CIM	CIMBER A/S	CIMBER
CIN	SAFFRON AVIATION (PVT) LTD	CINNAMON
CIO	IL CIOCCO INTERNATIONAL TRAVEL SERVICE SRL	CIOCCO
CIR	ARCTIC CIRCLE AIR SERVICE, INC. (FAIRBANKS, AK)	AIR ARCTIC
CIS	CAT ISLAND AIR	CAT ISLAND
CIT	ZANESVILLE AVIATION (ZANESVILLE, OH)	ZANE
CIU	CIELOS DEL PERU S.A.	CIELOS
CIV	CIVIL AVIATION AUTHORITY OF NEW ZEALAND	CIVAIR
CIX	CITY CONNEXION AIRLINES	CONNEXION
CJA	CANJET AIRLINES	CANJET
CJC	COLGAN AIR (MANASSAS, VA)	COLGAN
CJE	CUSTOM JET CHARTERS, LLC (WEST PALM BEACH, FL)	CUSTOM JET
CJI	CORPORATE JETS, INC. (WEST MIFFLIN, PA)	SEA JET
CJL	CANADA JETLINES OPERATIONS LTD.	JETBUS
CJM	CORPORATE JET MANAGEMENT LTD	CHECKMARK
CJR	CAVERTON HELICOPTERS LTD	CAVERTON AIR
CJS	COMMONWEALTH JET SERVICE, INC. (SANDSTON, VA)	COMMONWEALTH
CJT	CARGOJET AIRWAYS LTD	CARGOJET
CJX	JIANGXI AIR COMPANY LIMITED	AIR CRANE
CJZ	CALIBER JET CHARTER, LLC (WESTLAKE, OH)	CALIBER JET
CKA	COOK INLET AVIATION, INC. (HOMER, AK)	COOK-AIR
CKE	CORPORATE AVIATION SERVICES, INC. (TULSA, OK)	CHECKMATE
CKJ	PEOPLE'S LIBERATION ARMY AIR FORCE	PLAAF
CKK	CHINA CARGO AIRLINES LTD	CARGO KING
CKL	CRONOS AIRLINES BENIN	SPACE
CKM	RIVAFLECHA, S.L. (BKS AIR)	RIVAFLECHA
CKR	CROWN AIR SYSTEMS	CROWN AIR
CKS	KALITTA AIR, LLC (YPSILANTI, MI)	CONNIE
CLA	COMLUX AVIATION AG	COMLUX
CLB	COBHAM FLIGHT INSPECTION LTD	CALIBRATOR
CLC	SCAMBESCO CC TRADING AS CLOUD 9 AIR CHARTERS	MOTHERSHIP
CLD	CLOWES ESTATES LTD	CLOWES
CLE	COLEMILL ENTERPRISES (NASHVILLE, TN)	COLEMILL
CLF	CENTRELINE AV	CLIFTON
CLG	CHALAIR AVIATION	CHALLAIR
CLH	LUFTHANSA CITYLINE GMBH, KOELN	HANSALINE
CLI	CLICKAIR, S.A.	CLICKJET
CLJ	CELLO AVIATION LTD	CELLOJET
CLK	CLARK AVIATION CORP. (NEW CUMBERLAND, PA)	CLARKAIR
CLL	AEROVIAS CASTILLO, S.A.	AEROCASTILLO
CLM	CARGO LINK (CARIBBEAN) INC.	CARGO LINK
CLN	CLEOPATRA AVIATION	CLEOPATRA
CLO	CHALLENGE AERO UKRAINE LLC	CHALLENGE UKRAINE
CLP	AERO CLUB DE PORTUGAL	CLUB PORTUGAL
CLR	TRANS AMERICA (ENGLEWOOD, CO)	CLINTON AIRWAYS
CLS	CHALLENGE AIR LUFTVERKEHRS GMBH, TROISDORF	AIRISTO
CLU	CARGOLOGICAIR LTD	FIREBIRD
CLV	LOM PRAHA FLYING SCHOOL	AEROTRAINING
CLW	NOWY PRZEWOZNIK SP. Z.O.O.	CENTRALWINGS
CLX	CARGOLUX AIRLINES INTERNATIONAL S.A.	CARGOLUX
CLY	CLAY LACY AVIATION (SEATTLE, WA)	CLAY-LACY
CLZ	CLOUD 9 AIR CHARTERS	CLOUDLINE
CMA	CMA CGM AIR CARGO	FRENCH CARGO
CMB	US TRANSPORTATION COMMAND	CAMBER
CMC	CMC ELECTRONICS INC.	ESTERLINE
CMD	CALSTAR	CALSTAR MED
CME	COMMERCE BANK	COMMERCE BANK
CMF	AIR CARE ALLIANCE (STORRS, CT)	COMPASSION
CMG	COMET AIRLINES LIMITED	SUNSPY
CMH	COMMAIR AVIATION LIMITED	COMMODORE
CMI	CONTINENTAL MICRONESIA, INC. (TAMUNING, GUAM)	AIR MIKE
CMJ	COMFORT JET SERVICES	COMFORT JET
CMK	COSMOS AVIATION (PVT) LTD	COSMOS LANKA
CML	COMMUNITY AIRLINES	COMMUNITY
CMM	COMPAGNIE AERIENNE DU MALI S.A.	CAMALI
CMN	ECKLES AIRCRAFT CO. (HOLDENVILLE, OK)	CIMMARON AIRE
CMO	KGFM TRANSPORT AND LOGISTICS (PTY) LTD	CAMELOT
CMP	COMPANIA PANAMENA DE AVIACION, S.A.	COPA
CMR	CAM AIR MANAGEMENT LTD	CAMEO
CMS	CAMEX AIRLINES LLC	CAMEX
CMT	CASEMENT AVIATION (PLAINESVILLE, OH)	CASEMENT
CMV	CALIMA DE AVIACION S.L.	CALIMA
CMX	EL CAMINANTE TAXI AEREO, S.A. DE C.V.	EL CAMINANTE
CMZ	CM STAIR, COMPAGNIE MAURITANIENNE DES SERVICES ET TRANSPORT AERIEN	CEE-EM STAIRS
